VEH_MAKE_ID,PRSN_ETHNICITY_ID
ACURA,WHITE
ALFA ROMEO,WHITE
ALL OTHER MAKES,WHITE
AM GENERAL,WHITE
AMERICAN IRON HORSE,WHITE
AMERICAN MOTORS,WHITE
APRILIA,HISPANIC
ASTON MARTIN,WHITE
ASTON MARTIN,HISPANIC
AUDI,WHITE
AUTOCAR,BLACK
AUTOCAR LLC,BLACK
AUTOCAR LLC,WHITE
BENTLEY,WHITE
BLUE BIRD,WHITE
BMW,WHITE
BRI-MAR MANUFACTURING LLC,WHITE
BRI-MAR MANUFACTURING LLC,HISPANIC
BUELL,WHITE
BUGATTI,WHITE
BUICK,WHITE
BUS & COACH INTL,HISPANIC
BUS & COACH INTL,WHITE
CADILLAC,WHITE
CAN-AM,WHITE
CATERPILLAR,HISPANIC
CHALLENGE-COOK BROTHERS INC,HISPANIC
CHALLENGE-COOK BROTHERS INC,WHITE
CHEVROLET,WHITE
CHRYSLER,WHITE
COUNTRY COACH,WHITE
COUNTRY COACH,BLACK
CRANE CARRIER,BLACK
D & B TRAILER,HISPANIC
DAEWOO,WHITE
DATSUN,WHITE
DODGE,WHITE
DUCATI,WHITE
EAGER BEAVER,WHITE
EAGER BEAVER,BLACK
EAGLE,WHITE
EAGLE TRANSIT,HISPANIC
ELDORADO,WHITE
EMERGENCY ONE,WHITE
FEATHERLITE MFG INC,HISPANIC
FEDERAL MOTORS,WHITE
FERRARI,WHITE
FIAT,WHITE
FLOE INTERNATIONAL,WHITE
FLOW BOY MFG,WHITE
FORD,WHITE
FORETRAVEL,WHITE
FREIGHTLINER,WHITE
FRUEHAUF,HISPANIC
GALBREATH INC,BLACK
GALBREATH INC,HISPANIC
GENERAL TRAILER CO,HISPANIC
GEO,WHITE
GILLIG,HISPANIC
GM,WHITE
GMC,WHITE
GRAYCO,HISPANIC
GRAYCO,WHITE
HARLEY-DAVIDSON,WHITE
HEIL CO,HISPANIC
HINO,WHITE
HOGG/DAVIS INC,BLACK
HOGG/DAVIS INC,HISPANIC
HOMEMADE VEHICLE,HISPANIC
HONDA,WHITE
HUMMER,HISPANIC
HYOSUNG,HISPANIC
HYUNDAI,WHITE
HYUNDAI STEEL INDUSTRIES,BLACK
IC CORPORATION,WHITE
INDEPENDENT TRAILER MFG,HISPANIC
INDIAN,WHITE
INFINITI,WHITE
INTERMOUNTAIN WHOLE SALE INC,WHITE
INTERNATIONAL,WHITE
INTERNATIONAL TANK & TRAILER CORP,HISPANIC
INTERNATIONAL TRAILER CORP,HISPANIC
ISUZU,WHITE
JAGUAR,WHITE
JEEP,WHITE
JOHN DEERE,HISPANIC
KAWASAKI,WHITE
KENTUCKY MFG,HISPANIC
KENWORTH,WHITE
KIA,WHITE
KYMCO,HISPANIC
LAND ROVER,WHITE
LEXUS,WHITE
LINCOLN,WHITE
LOTUS,WHITE
MAC LTT,WHITE
MAC LTT,BLACK
MAC LTT,HISPANIC
MACK,WHITE
MANAC INC,WHITE
MANAC INC,HISPANIC
MASERATI,WHITE
MAZDA,WHITE
MCI (LES AUTO BUS),HISPANIC
MCLAREN,WHITE
MERCEDES-BENZ,WHITE
MERCURY,WHITE
MIDLAND MANUFACTURING LIMITED,WHITE
MINI,WHITE
MITSUBISHI,WHITE
MITSUBISHI FUSO,HISPANIC
MOTOR COACH MND INC,HISPANIC
MURPHY MANUFACTURING CO,WHITE
NA,WHITE
NABORS TRAILERS,BLACK
NABORS TRAILERS,HISPANIC
NEW FLYER,HISPANIC
NISSAN,WHITE
NISSAN DIESEL,HISPANIC
NORTH AMERICAN BUS,HISPANIC
NOVA,HISPANIC
NOVA,WHITE
NOVA FABRICATING,BLACK
NOVA FABRICATING,HISPANIC
OLDSMOBILE,WHITE
ORION,BLACK
ORION,HISPANIC
ORION,WHITE
OTHER (EXPLAIN IN NARRATIVE),WHITE
OTTAWA,HISPANIC
PETER PIRSCH & SONS,WHITE
PETERBILT,WHITE
PIAGGIO,WHITE
PIERCE,WHITE
PLYMOUTH,HISPANIC
POLARIS,WHITE
PONTIAC,WHITE
PORSCHE,WHITE
PREVOST,WHITE
RAM,WHITE
RENAULT,BLACK
RENAULT,HISPANIC
REQUIRES INTERPRETATION,HISPANIC
REQUIRES INTERPRETATION,WHITE
ROAD RAILER,WHITE
ROLLS-ROYCE,WHITE
SAAB,WHITE
SATURN,WHITE
SMART,WHITE
SPARTA MANUFACTURING CORP,WHITE
SPARTAN,WHITE
STEPHENS PNEUMATIC,HISPANIC
STEPHENS PNEUMATIC,WHITE
STERLING,WHITE
SUBARU,WHITE
SUPREME CORP,WHITE
SUPREME CORP,HISPANIC
SUZUKI,WHITE
TESLA,WHITE
THOMAS,WHITE
TOYOTA,WHITE
TRI-QUEST INC,WHITE
TRI-QUEST INC,HISPANIC
U-HAUL INTERNATIONAL,WHITE
U-HAUL INTERNATIONAL,BLACK
ULTRA LITE MFG,WHITE
UNITED EXPRESS LINE INC,UNKNOWN
UNITED EXPRESS LINE INC,HISPANIC
UNITED EXPRESS LINE INC,WHITE
UNITED EXPRESS LINE INC,OTHER
UNKNOWN,HISPANIC
UTILIMASTER,BLACK
UTILIMASTER,WHITE
VAN HOOL,HISPANIC
VESPA,WHITE
VESPA,HISPANIC
VICTORY,WHITE
VOLKSWAGEN,WHITE
VOLVO,WHITE
WABASH NATIONAL CORP,HISPANIC
WESTERN STAR,WHITE
WESTERN TRUCK & TRAILER CO,WHITE
WHITE,WHITE
WHITEGMC,WHITE
WINNEBAGO,WHITE
WORKHORSE,WHITE
YAMAHA,WHITE
